Country,year,month,tourism_index,state,event,latitude,longitude
China,2019,1,50,Anhui,Winter Tourism,31.8612,117.2857
China,2019,10,95,Anhui,Golden Week,31.8612,117.2857
China,2019,11,82,Anhui,Cultural Tourism,31.8612,117.2857
China,2019,12,78,Anhui,Year End Travel,31.8612,117.2857
China,2019,2,72,Anhui,Spring Festival,31.8612,117.2857
China,2019,3,70,Anhui,Spring Travel,31.8612,117.2857
China,2019,4,78,Anhui,Nature Tourism,31.8612,117.2857
China,2019,5,82,Anhui,Holiday Tourism,31.8612,117.2857
China,2019,6,75,Anhui,Early Summer,31.8612,117.2857
China,2019,7,85,Anhui,Summer Travel,31.8612,117.2857
China,2019,8,88,Anhui,Peak Season,31.8612,117.2857
China,2019,9,80,Anhui,Autumn Travel,31.8612,117.2857
China,2020,1,50,Anhui,Winter Tourism,31.8612,117.2857
China,2020,10,95,Anhui,Golden Week,31.8612,117.2857
China,2020,11,82,Anhui,Cultural Tourism,31.8612,117.2857
China,2020,12,78,Anhui,Year End Travel,31.8612,117.2857
China,2020,2,72,Anhui,Spring Festival,31.8612,117.2857
China,2020,3,70,Anhui,Spring Travel,31.8612,117.2857
China,2020,4,78,Anhui,Nature Tourism,31.8612,117.2857
China,2020,5,82,Anhui,Holiday Tourism,31.8612,117.2857
China,2020,6,75,Anhui,Early Summer,31.8612,117.2857
China,2020,7,85,Anhui,Summer Travel,31.8612,117.2857
China,2020,8,88,Anhui,Peak Season,31.8612,117.2857
China,2020,9,80,Anhui,Autumn Travel,31.8612,117.2857
China,2021,1,50,Anhui,Winter Tourism,31.8612,117.2857
China,2021,10,95,Anhui,Golden Week,31.8612,117.2857
China,2021,11,82,Anhui,Cultural Tourism,31.8612,117.2857
China,2021,12,78,Anhui,Year End Travel,31.8612,117.2857
China,2021,2,72,Anhui,Spring Festival,31.8612,117.2857
China,2021,3,70,Anhui,Spring Travel,31.8612,117.2857
China,2021,4,78,Anhui,Nature Tourism,31.8612,117.2857
China,2021,5,82,Anhui,Holiday Tourism,31.8612,117.2857
China,2021,6,75,Anhui,Early Summer,31.8612,117.2857
China,2021,7,85,Anhui,Summer Travel,31.8612,117.2857
China,2021,8,88,Anhui,Peak Season,31.8612,117.2857
China,2021,9,80,Anhui,Autumn Travel,31.8612,117.2857
China,2022,1,50,Anhui,Winter Tourism,31.8612,117.2857
China,2022,10,95,Anhui,Golden Week,31.8612,117.2857
China,2022,11,82,Anhui,Cultural Tourism,31.8612,117.2857
China,2022,12,78,Anhui,Year End Travel,31.8612,117.2857
China,2022,2,72,Anhui,Spring Festival,31.8612,117.2857
China,2022,3,70,Anhui,Spring Travel,31.8612,117.2857
China,2022,4,78,Anhui,Nature Tourism,31.8612,117.2857
China,2022,5,82,Anhui,Holiday Tourism,31.8612,117.2857
China,2022,6,75,Anhui,Early Summer,31.8612,117.2857
China,2022,7,85,Anhui,Summer Travel,31.8612,117.2857
China,2022,8,88,Anhui,Peak Season,31.8612,117.2857
China,2022,9,80,Anhui,Autumn Travel,31.8612,117.2857
China,2023,1,50,Anhui,Winter Tourism,31.8612,117.2857
China,2023,10,95,Anhui,Golden Week,31.8612,117.2857
China,2023,11,82,Anhui,Cultural Tourism,31.8612,117.2857
China,2023,12,78,Anhui,Year End Travel,31.8612,117.2857
China,2023,2,72,Anhui,Spring Festival,31.8612,117.2857
China,2023,3,70,Anhui,Spring Travel,31.8612,117.2857
China,2023,4,78,Anhui,Nature Tourism,31.8612,117.2857
China,2023,5,82,Anhui,Holiday Tourism,31.8612,117.2857
China,2023,6,75,Anhui,Early Summer,31.8612,117.2857
China,2023,7,85,Anhui,Summer Travel,31.8612,117.2857
China,2023,8,88,Anhui,Peak Season,31.8612,117.2857
China,2023,9,80,Anhui,Autumn Travel,31.8612,117.2857
China,2019,1,55,Beijing,Winter Tourism,39.9042,116.4074
China,2019,10,98,Beijing,Golden Week,39.9042,116.4074
China,2019,11,85,Beijing,Cultural Tourism,39.9042,116.4074
China,2019,12,80,Beijing,Year End Travel,39.9042,116.4074
China,2019,2,75,Beijing,Spring Festival,39.9042,116.4074
China,2019,3,70,Beijing,Spring Travel,39.9042,116.4074
China,2019,4,80,Beijing,Cherry Blossom,39.9042,116.4074
China,2019,5,85,Beijing,Holiday Tourism,39.9042,116.4074
China,2019,6,78,Beijing,Early Summer,39.9042,116.4074
China,2019,7,88,Beijing,Summer Travel,39.9042,116.4074
China,2019,8,90,Beijing,Peak Season,39.9042,116.4074
China,2019,9,82,Beijing,Autumn Travel,39.9042,116.4074
China,2020,1,55,Beijing,Winter Tourism,39.9042,116.4074
China,2020,10,98,Beijing,Golden Week,39.9042,116.4074
China,2020,11,85,Beijing,Cultural Tourism,39.9042,116.4074
China,2020,12,80,Beijing,Year End Travel,39.9042,116.4074
China,2020,2,75,Beijing,Spring Festival,39.9042,116.4074
China,2020,3,70,Beijing,Spring Travel,39.9042,116.4074
China,2020,4,80,Beijing,Cherry Blossom,39.9042,116.4074
China,2020,5,85,Beijing,Holiday Tourism,39.9042,116.4074
China,2020,6,78,Beijing,Early Summer,39.9042,116.4074
China,2020,7,88,Beijing,Summer Travel,39.9042,116.4074
China,2020,8,90,Beijing,Peak Season,39.9042,116.4074
China,2020,9,82,Beijing,Autumn Travel,39.9042,116.4074
China,2021,1,55,Beijing,Winter Tourism,39.9042,116.4074
China,2021,10,98,Beijing,Golden Week,39.9042,116.4074
China,2021,11,85,Beijing,Cultural Tourism,39.9042,116.4074
China,2021,12,80,Beijing,Year End Travel,39.9042,116.4074
China,2021,2,75,Beijing,Spring Festival,39.9042,116.4074
China,2021,3,70,Beijing,Spring Travel,39.9042,116.4074
China,2021,4,80,Beijing,Cherry Blossom,39.9042,116.4074
