Country,year,month,tourism_index,state,event,latitude,longitude
Spain,2019,1,50,Andalusia,Winter Tourism,37.5443,-4.7278
Spain,2019,2,55,Andalusia,Cultural Season,37.5443,-4.7278
Spain,2019,3,65,Andalusia,Spring Travel,37.5443,-4.7278
Spain,2019,4,85,Andalusia,Semana Santa,37.5443,-4.7278
Spain,2019,5,75,Andalusia,Holiday Tourism,37.5443,-4.7278
Spain,2019,6,85,Andalusia,Early Summer,37.5443,-4.7278
Spain,2019,7,95,Andalusia,Summer Peak,37.5443,-4.7278
Spain,2019,8,100,Andalusia,Beach Tourism Peak,37.5443,-4.7278
Spain,2019,9,85,Andalusia,Autumn Travel,37.5443,-4.7278
Spain,2019,10,75,Andalusia,Fall Tourism,37.5443,-4.7278
Spain,2019,11,65,Andalusia,Cultural Tourism,37.5443,-4.7278
Spain,2019,12,85,Andalusia,Christmas Tourism,37.5443,-4.7278
Spain,2019,1,55,Catalonia,Winter Tourism,41.5912,1.5209
Spain,2019,2,60,Catalonia,Cultural Tourism,41.5912,1.5209
Spain,2019,3,70,Catalonia,Spring Travel,41.5912,1.5209
Spain,2019,4,85,Catalonia,Easter Tourism,41.5912,1.5209
Spain,2019,5,80,Catalonia,Holiday Tourism,41.5912,1.5209
Spain,2019,6,88,Catalonia,Early Summer,41.5912,1.5209
Spain,2019,7,98,Catalonia,Summer Peak,41.5912,1.5209
Spain,2019,8,100,Catalonia,Tourism Peak,41.5912,1.5209
Spain,2019,9,88,Catalonia,Autumn Travel,41.5912,1.5209
Spain,2019,10,78,Catalonia,Fall Tourism,41.5912,1.5209
Spain,2019,11,70,Catalonia,Cultural Season,41.5912,1.5209
Spain,2019,12,90,Catalonia,Christmas Tourism,41.5912,1.5209
Spain,2019,1,52,Madrid,Winter Tourism,40.4168,-3.7038
Spain,2019,2,58,Madrid,Cultural Season,40.4168,-3.7038
Spain,2019,3,68,Madrid,Spring Travel,40.4168,-3.7038
Spain,2019,4,82,Madrid,Easter Tourism,40.4168,-3.7038
Spain,2019,5,78,Madrid,Holiday Tourism,40.4168,-3.7038
Spain,2019,6,85,Madrid,Early Summer,40.4168,-3.7038
Spain,2019,7,92,Madrid,Summer Travel,40.4168,-3.7038
Spain,2019,8,90,Madrid,Peak Season,40.4168,-3.7038
Spain,2019,9,85,Madrid,Autumn Travel,40.4168,-3.7038
Spain,2019,10,78,Madrid,Fall Tourism,40.4168,-3.7038
Spain,2019,11,70,Madrid,Cultural Tourism,40.4168,-3.7038
Spain,2019,12,88,Madrid,Holiday Tourism,40.4168,-3.7038
Spain,2019,1,48,Valencia,Winter Tourism,39.4699,-0.3763
Spain,2019,2,55,Valencia,Cultural Season,39.4699,-0.3763
Spain,2019,3,75,Valencia,Las Fallas Festival,39.4699,-0.3763
Spain,2019,4,82,Valencia,Spring Travel,39.4699,-0.3763
Spain,2019,5,78,Valencia,Holiday Tourism,39.4699,-0.3763
Spain,2019,6,88,Valencia,Beach Season,39.4699,-0.3763
Spain,2019,7,98,Valencia,Summer Peak,39.4699,-0.3763
Spain,2019,8,100,Valencia,Tourism Peak,39.4699,-0.3763
Spain,2019,9,88,Valencia,Autumn Travel,39.4699,-0.3763
Spain,2019,10,75,Valencia,Fall Tourism,39.4699,-0.3763
Spain,2019,11,65,Valencia,Cultural Tourism,39.4699,-0.3763
Spain,2019,12,85,Valencia,Christmas Tourism,39.4699,-0.3763
Spain,2019,1,45,Canary Islands,Winter Tourism,28.2916,-16.6291
Spain,2019,2,50,Canary Islands,Beach Tourism,28.2916,-16.6291
